Output from NeEstimator v2.1
Starting time: Fri Oct 09 14:22:39 2020
Input File: "snps.gen"

Number of Loci = 897


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Random

Lowest allele frequencies used:     0.0500    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
                   	         	0.0100	       4.4   	      4415  	 0.301831	  0.344483	     -8.6	  Infinite	  Infinite	      12.5	  Infinite	       229
57:V611            	      5  	0.0500	       4.3   	      1373  	 0.263932	  0.410761	     -3.2	  Infinite	  Infinite	  Infinite	  Infinite	       184
                   	         	0.0200	       4.3   	      1373  	 0.263932	  0.410761	     -3.2	  Infinite	  Infinite	  Infinite	  Infinite	       184
                   	         	0.0100	       4.3   	      1373  	 0.263932	  0.410761	     -3.2	  Infinite	  Infinite	  Infinite	  Infinite	       184
58:V870            	      4  	0.0500	       3.8   	       542  	 0.307597	  0.512312	     -2.5	  Infinite	  Infinite	       0.4	  Infinite	        10
                   	         	0.0200	       3.8   	       542  	 0.307597	  0.512312	     -2.5	  Infinite	  Infinite	       0.4	  Infinite	        10
                   	         	0.0100	       3.8   	       542  	 0.307597	  0.512312	     -2.5	  Infinite	  Infinite	       0.4	  Infinite	        10
59:V35             	     20  	0.0500	      11.9   	      2814  	 0.094500	  0.094016	    635.4	      53.0	  Infinite	       2.4	  Infinite	        36
                   	         	0.0200	      12.5   	      7037  	 0.086105	  0.090357	    -74.1	  Infinite	  Infinite	       9.6	  Infinite	        96
                   	         	0.0100	      12.5   	      7037  	 0.086105	  0.090357	    -74.1	  Infinite	  Infinite	       9.6	  Infinite	        96
60:V461            	      8  	0.0500	       4.7   	      1952  	 0.268095	  0.346441	     -5.2	  Infinite	  Infinite	       3.6	  Infinite	        64
                   	         	0.0200	       4.7   	      1952  	 0.268095	  0.346441	     -5.2	  Infinite	  Infinite	       3.6	  Infinite	        64
                   	         	0.0100	       4.7   	      1952  	 0.268095	  0.346441	     -5.2	  Infinite	  Infinite	       3.6	  Infinite	        64
61:V530            	      7  	0.0500	       4.1   	      1779  	 0.275267	  0.402251	     -3.6	  Infinite	  Infinite	  Infinite	  Infinite	       110
                   	         	0.0200	       4.1   	      1779  	 0.275267	  0.402251	     -3.6	  Infinite	  Infinite	  Infinite	  Infinite	       110
                   	         	0.0100	       4.1   	      1779  	 0.275267	  0.402251	     -3.6	  Infinite	  Infinite	  Infinite	  Infinite	       110
62:V75             	     18  	0.0500	      11.3   	       996  	 0.087520	  0.100862	    -24.7	  Infinite	  Infinite	       7.7	  Infinite	        55
                   	         	0.0200	      12.2   	      3298  	 0.089593	  0.096833	    -44.2	  Infinite	  Infinite	      20.5	  Infinite	       192
                   	         	0.0100	      12.2   	      3298  	 0.089593	  0.096833	    -44.2	  Infinite	  Infinite	      20.5	  Infinite	       192
63:V792            	      8  	0.0500	       7.1   	      1531  	 0.151025	  0.212027	     -6.4	  Infinite	  Infinite	  Infinite	  Infinite	       181
                   	         	0.0200	       7.1   	      1531  	 0.151025	  0.212027	     -6.4	  Infinite	  Infinite	  Infinite	  Infinite	       181
                   	         	0.0100	       7.1   	      1531  	 0.151025	  0.212027	     -6.4	  Infinite	  Infinite	  Infinite	  Infinite	       181
64:V435            	      1  	0.0500	       1.0   	        50  	 0.000000	  5.348800	     -0.3	  Infinite	  Infinite	  Infinite	  Infinite	         0
