Group,Sample_ID_Prefix,Basin_Code,Stream_code,GMU,Basin,Creek,Genetic Year,UTM,UTM,Descriptor,N,Watterson’s theta (4Nu),Tajima’s theta (4Nu),Theta deviation,Mean theta,Het/Ho,He/HoStDev,% hybrid,Hyb Notes,PVA Extinction,PVA Ext L95,PVA Ext U95,PVA Abundance 2.5,PVA Abundance 50,PVA Abund Year
bamlist2_STE_MSQ_2000,STE_MSQ_2000,STE,str_MSQ,NorthWestern,Steens out of basin,Mosquito,2000,375317,4728526,Out of Basin Transplant,4,7.35E-05,7.13E-05,-0.031151744,7.24E-05,,,0,,NA,NA,NA,NA,NA,
bamlist2_STE_PKC_2000,STE_PKC_2000,STE,str_PKC,NorthWestern,Steens out of basin,Pike,2000,374318,4714951,Out of Basin Transplant,2,7.43E-05,7.83E-05,0.051595615,7.63E-05,,,0,,NA,NA,NA,NA,NA,
bamlist2_CAR_EFC_2017,CAR_EFC_2017,CAR,str_EFC,Western,Carson,East Fork Carson,2017,266975,4257724,Out of Basin Transplant,20,0.000230544,0.000246583,0.067235118,0.000238564,,,0.05,,NA,NA,NA,NA,NA,
bamlist2_CAR_GOC_2017,CAR_GOC_2017,CAR,str_GOC,Western,Carson,Golden Canyon,2017,265105,4260595,Out of Basin Transplant,12,0.000297679,0.000278855,-0.065301883,0.000288267,,,0.07,,NA,NA,NA,NA,NA,
bamlist2_CAR_MUR_2017,CAR_MUR_2017,CAR,str_MUR,Western,Carson,Murray Canyon,2017,264457,4263932,Out of Basin Transplant,20,0.000188659,0.000198815,0.052425806,0.000193737,,,0.02,,NA,NA,NA,NA,NA,
bamlist2_CAR_POI_2017,CAR_POI_2017,CAR,str_POI,Western,Carson,Poison Flat,2017,270197,4264718,Out of Basin Transplant,20,0.0002996,0.00023618,-0.236737546,0.00026789,,,0.12,,NA,NA,NA,NA,NA,
bamlist2_LTR_IPL_2016,LTR_IPL_2016,LTR,str_IPL,Western,Truckee,Independence Lake,2016,212914,4369424,Lake/Hybridized,10,0.000329689,0.000298805,-0.098278492,0.000314247,,,13.17,,NA,NA,NA,NA,NA,
bamlist2_TRU_POL_2016,TRU_POL_2016,TRU,str_POL,Western,Truckee,Pole,2016,221818,4347906,isolated,20,0.000428243,0.000310752,-0.317973056,0.000369498,,,0.24,,3.10%,2.20%,4.00%,474,852,2010
bamlist2_UPT_MEI_2017,UPT_MEI_2017,UPT,str_MEI,Western,Truckee ,Meiss Meadows,2017,238252,4291116,isolated,20,0.000315449,0.000294128,-0.069952295,0.000304788,,,0.06,,26.50%,25.50%,28.70%,5534,8333,2009
bamlist2_WAL_BYD_2015,WAL_BYD_2015,WAL,str_BYD,Western,Walker,By-Day,2015,296927.3162,4238327.949,isolated - original ,58,0.000305524,0.000127714,-0.820839761,0.000216619,,,0.16,,19.00%,17.60%,20.90%,1624,2690,2009
bamlist2_WAL_LWF_2015,WAL_LWF_2015,WAL,str_LWF,Western,Walker,Lower Wolf,2015,275502.3053,4249478.848,isolated - founded,10,0.000442458,0.000239692,-0.59448895,0.000341075,,,0.65,,NA,NA,NA,NA,NA,
bamlist2_WAL_MIL_2015,WAL_MIL_2015,WAL,str_MIL,Western,Walker ,Mill,2015,282794,4260127,isolated - founded,28,0.000153508,0.000115716,-0.280747351,0.000134612,,,0,,NA,NA,NA,NA,NA,
bamlist2_WAL_MIL_2017,WAL_MIL_2017,WAL,str_MIL,Western,Walker ,Mill,2017,282794,4260127,isolated - founded,18,0.000103361,9.85E-05,-0.048643498,0.000100907,,,0.02,,NA,NA,NA,NA,NA,
bamlist2_WAL_MPH_2011,WAL_MPH_2011,WAL,str_MPH,Western,Walker ,Murphy,2011,302821.7686,4250458.378,isolated - founded,12,0.000149326,0.00011962,-0.220909827,0.000134473,,,0,,NA,NA,NA,NA,NA,
bamlist2_WAL_SIL_2015,WAL_SIL_2015,WAL,str_SIL,Western,Walker ,Silver,2015,277191.9407,4250955.064,isolated - founded,7,0.000112299,9.37E-05,-0.180977569,0.000102981,,,0,,NA,NA,NA,NA,NA,
bamlist2_WAL_SLK_2015,WAL_SLK_2015,WAL,str_SLK,Western,Walker ,Slinkard,2015,276845.7875,4273812.575,isolated - founded,28,0.000239275,0.000141976,-0.510418584,0.000190626,,,0.08,,NA,NA,NA,NA,NA,
bamlist2_WAL_UWF_2015,WAL_UWF_2015,WAL,str_UWF,Western,Walker ,Upper Wolf,2015,273407.8445,4248501.358,isolated - founded,13,0.000462157,0.000244315,-0.616703505,0.000353236,,,0.73,,NA,NA,NA,NA,NA,
bamlist2_YUB_MAC_2016,YUB_MAC_2016,YUB,str_MAC,Western,Yuba out of basin,Macklin,2016,189260,4379782,Out of Basin Transplant,20,0.000280786,0.00025872,-0.081799936,0.000269753,,,0,,NA,NA,NA,NA,NA,
