comparison,overall_fst,n1,n2
str_ABE~str_IPL,0.1461,15,10
str_ABE~str_JCC,0.2145,15,15
str_ABE~str_LEE,0.1333,15,11
str_ABE~str_LIN,0.1368,15,13
str_ABE~str_LJK,0.0951,15,21
str_ABE~str_LNF,0.1744,15,12
str_ABE~str_LNG,0.0818,15,5
str_ABE~str_LON,0.1018,15,15
str_ABE~str_LTA,0.0636,15,3
str_ABE~str_LWF,0.2343,15,9
str_ABE~str_MAC,0.1693,15,17
str_ABE~str_MAE,0.0893,15,5
str_ABE~str_MAR,0.1009,15,20
str_ABE~str_MAU,0.1186,15,4
str_ABE~str_MEI,0.1201,15,17
str_ABE~str_MHK,0.2102,15,24
str_ABE~str_MIL,0.2491,15,37
str_ABE~str_MOH,0.1231,15,10
str_ABE~str_MPH,0.2263,15,12
str_ABE~str_MRB,0.0764,15,5
str_ABE~str_MRV,0.0927,15,5
str_ABE~str_MSQ,0.1731,15,3
str_ABE~str_MUR,0.207,15,14
str_ABE~str_NFB,0.1144,15,7
str_ABE~str_NFC,0.193,15,16
str_ABE~str_NFG,0.1344,15,7
str_ABE~str_OHR,0.1956,15,1
str_ABE~str_PEC,0.1027,15,15
str_ABE~str_PKC,0.1231,15,2
str_ABE~str_POI,0.1445,15,16
str_ABE~str_POL,0.153,15,19
str_ABE~str_ROC,0.1066,15,22
str_ABE~str_SEC,0.1011,15,6
str_ABE~str_SHE,0.0618,15,3
str_ABE~str_SIL,0.1656,15,6
str_ABE~str_SLK,0.1904,15,20
str_ABE~str_SNO,0.0835,15,8
str_ABE~str_TCR,0.118,15,23
str_ABE~str_TNY,0.1384,15,15
str_ABE~str_TOJ,0.1238,15,17
str_ABE~str_TRB,0.0923,15,8
str_ABE~str_UNK,0.1775,15,1
str_ABE~str_UWF,0.2586,15,9
str_ABE~str_WAC,0.1609,15,25
str_ABE~str_WHO,0.1277,15,8
str_ABE~str_WIC,0.1785,15,27
str_ABE~str_WIL,0.054,15,8
str_ABE~str_WLN,0.1227,15,22
str_ABE~str_WMR,0.118,15,7
str_AND~str_BAT,0.068,7,8
str_AND~str_BEA,0.0828,7,21
str_AND~str_BGA,0.1206,7,3
str_AND~str_BYD,0.0651,7,16
str_AND~str_CCC,0.0479,7,10
str_AND~str_CMC,0.0226,7,14
str_AND~str_COY,0.0699,7,25
str_AND~str_CRA,0.2711,7,21
str_AND~str_CWC,0.1575,7,9
str_AND~str_DIX,0.265,7,9
str_AND~str_EFC,0.1272,7,8
str_AND~str_FCC,0.1264,7,9
str_AND~str_FOR,0.0569,7,22
str_AND~str_FRZ,0.1611,7,24
str_AND~str_GAN,0.0838,7,23
str_AND~str_GOC,0.161,7,10
str_AND~str_HAN,0.0664,7,18
str_AND~str_INC,0.4692,7,1
str_AND~str_INK,0.2574,7,7
str_AND~str_IPL,0.0835,7,10
str_AND~str_JCC,0.1505,7,15
str_AND~str_LEE,0.0938,7,11
str_AND~str_LIN,0.006,7,13
str_AND~str_LJK,0.0446,7,21
str_AND~str_LNF,0.1809,7,12
str_AND~str_LNG,0.0239,7,5
str_AND~str_LON,0.1272,7,15
str_AND~str_LTA,0.0523,7,3
str_AND~str_LWF,0.1579,7,9
str_AND~str_MAC,0.1471,7,17
str_AND~str_MAE,0.0802,7,5
str_AND~str_MAR,0.0553,7,20
str_AND~str_MAU,0.0873,7,4
str_AND~str_MEI,0.0841,7,17
str_AND~str_MHK,0.2723,7,24
str_AND~str_MIL,0.2425,7,37
str_AND~str_MOH,0.0492,7,10
str_AND~str_MPH,0.2286,7,12
str_AND~str_MRB,0.0417,7,5
str_AND~str_MRV,0.1861,7,5
str_AND~str_MSQ,0.1616,7,3
str_AND~str_MUR,0.125,7,14
str_AND~str_NFB,0.0705,7,7
str_AND~str_NFC,0.1783,7,16
str_AND~str_NFG,0.2132,7,7
str_AND~str_OHR,0.2849,7,1
str_AND~str_PEC,0.0685,7,15
str_AND~str_PKC,0.0965,7,2
str_AND~str_POI,0.0608,7,16
str_AND~str_POL,0.1275,7,19
str_AND~str_ROC,0.0732,7,22
str_AND~str_SEC,0.1938,7,6
str_AND~str_SHE,0.1364,7,3
str_AND~str_SIL,0.1571,7,6
str_AND~str_SLK,0.1411,7,20
str_AND~str_SNO,0.1964,7,8
str_AND~str_TCR,0.0741,7,23
str_AND~str_TNY,0.0781,7,15
str_AND~str_TOJ,0.094,7,17
str_AND~str_TRB,0.1152,7,8
str_AND~str_UNK,0.2196,7,1
str_AND~str_UWF,0.177,7,9
str_AND~str_WAC,0.0531,7,25
str_AND~str_WHO,0.0923,7,8
str_AND~str_WIC,0.1507,7,27
str_AND~str_WIL,0.0316,7,8
str_AND~str_WLN,0.0454,7,22
str_AND~str_WMR,0.127,7,7
str_BAT~str_BEA,0.0983,8,21
str_BAT~str_BGA,0.2398,8,3
str_BAT~str_BYD,0.1056,8,16
str_BAT~str_CCC,0.045,8,10
str_BAT~str_CMC,0.0041,8,14
str_BAT~str_COY,0.073,8,25
str_BAT~str_CRA,0.2624,8,21
str_BAT~str_CWC,0.2591,8,9
str_BAT~str_DIX,0.2984,8,9
str_BAT~str_EFC,0.2003,8,8
str_BAT~str_FCC,0.1776,8,9
str_BAT~str_FOR,0.0842,8,22
str_BAT~str_FRZ,0.1988,8,24
str_BAT~str_GAN,0.09,8,23
str_BAT~str_GOC,0.2277,8,10
str_BAT~str_HAN,0.1067,8,18
str_BAT~str_INC,0.4808,8,1
str_BAT~str_INK,0.2945,8,7
str_BAT~str_IPL,0.1318,8,10
str_BAT~str_JCC,0.1723,8,15
str_BAT~str_LEE,0.1634,8,11
str_BAT~str_LIN,0.0309,8,13
str_BAT~str_LJK,0.0785,8,21
str_BAT~str_LNF,0.1757,8,12
str_BAT~str_LNG,0.0541,8,5
str_BAT~str_LON,0.0792,8,15
str_BAT~str_LTA,0.207,8,3
str_BAT~str_LWF,0.2444,8,9
str_BAT~str_MAC,0.1666,8,17
str_BAT~str_MAE,0.0861,8,5
str_BAT~str_MAR,0.1021,8,20
str_BAT~str_MAU,0.1264,8,4
str_BAT~str_MEI,0.1055,8,17
str_BAT~str_MHK,0.3006,8,24
str_BAT~str_MIL,0.2714,8,37
str_BAT~str_MOH,0.1144,8,10
str_BAT~str_MPH,0.2661,8,12
str_BAT~str_MRB,0.0865,8,5
str_BAT~str_MRV,0.1709,8,5
str_BAT~str_MSQ,0.2823,8,3
str_BAT~str_MUR,0.1983,8,14
str_BAT~str_NFB,-0.001,8,7
str_BAT~str_NFC,0.2106,8,16
str_BAT~str_NFG,0.1683,8,7
str_BAT~str_OHR,0.2543,8,1
str_BAT~str_PEC,0.1004,8,15
str_BAT~str_PKC,0.2695,8,2
