pop,pcrit,Neb,Neb_lCI,Neb_uCI,He_Ne,He_lCIp,He_uCIp,LDNe,LDNe_lCIp,LDNe_uCIp,LDNe_lCIj,LDNe_uCIj,facet
str_MAR,0.05,1.7,1.2,2.3,4.7,3.2,9.3,4920.2,91.4,Inf,18.2,Inf,stream
str_MAR,0.02,1.7,1.2,2.3,7.6,5.2,15.4,265.2,98.6,Inf,22.9,Inf,stream
str_MAR,0.01,1.7,1.2,2.3,7.6,5.2,15.4,265.2,98.6,Inf,22.9,Inf,stream
str_MAU,0.05,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MAU,0.02,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MAU,0.01,7.9,4.7,11.9,4.3,3.2,6.9,Inf,Inf,Inf,Inf,Inf,stream
str_MEI,0.05,1.2,0.9,1.4,6.7,4,27.4,Inf,417.8,Inf,16.8,Inf,stream
str_MEI,0.02,1.2,0.9,1.4,11.6,6.7,50.5,Inf,Inf,Inf,17.6,Inf,stream
str_MEI,0.01,1.2,0.9,1.4,11.6,6.7,50.5,Inf,Inf,Inf,17.6,Inf,stream
str_MHK,0.05,0.8,0.7,0.9,2.4,1.7,4.9,Inf,Inf,Inf,25.3,Inf,stream
str_MHK,0.02,0.8,0.7,0.9,5.7,3.8,12.9,17,13.1,23.1,2.8,Inf,stream
str_MHK,0.01,0.8,0.7,0.9,5.7,3.8,12.9,17,13.1,23.1,2.8,Inf,stream
str_MIL,0.05,0.8,0.7,0.9,1.8,1.5,2.4,Inf,Inf,Inf,35.2,Inf,stream
str_MIL,0.02,0.8,0.7,0.9,3,2.4,4.1,21.2,17,27.3,8.9,126.1,stream
str_MIL,0.01,0.8,0.7,0.9,4.5,3.5,6.5,17.7,15.6,20.4,6.9,98.1,stream
str_MOH,0.05,1.5,1.2,1.8,6.4,4.3,14,Inf,Inf,Inf,5.5,Inf,stream
str_MOH,0.02,1.5,1.2,1.8,9.4,6.1,21.3,Inf,Inf,Inf,5.8,Inf,stream
str_MOH,0.01,1.5,1.2,1.8,9.4,6.1,21.3,Inf,Inf,Inf,5.8,Inf,stream
str_MPH,0.05,2.6,1.8,3.4,3.1,2.5,4.4,Inf,Inf,Inf,3.1,Inf,stream
str_MPH,0.02,2.6,1.8,3.4,3.2,2.5,4.4,Inf,Inf,Inf,3.2,Inf,stream
str_MPH,0.01,2.6,1.8,3.4,3.2,2.5,4.4,Inf,Inf,Inf,3.2,Inf,stream
str_MRB,0.05,2.2,1.6,2.9,5.9,3.7,17.4,Inf,Inf,Inf,12.5,Inf,stream
str_MRB,0.02,2.2,1.6,2.9,5.9,3.7,17.4,Inf,Inf,Inf,12.5,Inf,stream
str_MRB,0.01,2.2,1.6,2.9,5.9,3.7,17.4,Inf,Inf,Inf,12.5,Inf,stream
str_MRV,0.05,7.5,3.2,13.5,4.3,2.7,12,Inf,Inf,Inf,Inf,Inf,stream
str_MRV,0.02,7.5,3.2,13.5,4.3,2.7,12,Inf,Inf,Inf,Inf,Inf,stream
str_MRV,0.01,7.5,3.2,13.5,4.3,2.7,12,Inf,Inf,Inf,Inf,Inf,stream
str_MSQ,0.05,4.2,2.3,6.5,2.8,1.9,6.2,Inf,Inf,Inf,0.4,Inf,stream
str_MSQ,0.02,4.2,2.3,6.5,2.8,1.9,6.2,Inf,Inf,Inf,0.4,Inf,stream
str_MSQ,0.01,4.2,2.3,6.5,2.8,1.9,6.2,Inf,Inf,Inf,0.4,Inf,stream
str_MUR,0.05,1.5,1,2,2.6,2,3.9,635.4,53,Inf,2.4,Inf,stream
str_MUR,0.02,1.5,1,2,4.1,3.1,6.3,Inf,Inf,Inf,9.6,Inf,stream
str_MUR,0.01,1.5,1,2,4.1,3.1,6.3,Inf,Inf,Inf,9.6,Inf,stream
str_NFB,0.05,14.3,1,44.5,5.1,2.9,31.4,Inf,Inf,Inf,Inf,Inf,stream
str_NFB,0.02,14.3,1,44.5,5.1,2.9,31.4,Inf,Inf,Inf,Inf,Inf,stream
str_NFB,0.01,14.3,1,44.5,5.1,2.9,31.4,Inf,Inf,Inf,Inf,Inf,stream
str_NFC,0.05,3.2,1.5,5.6,3.1,2,7.5,Inf,Inf,Inf,7.7,Inf,stream
str_NFC,0.02,3.2,1.5,5.6,5.5,3.5,14.7,Inf,Inf,Inf,20.5,Inf,stream
str_NFC,0.01,3.2,1.5,5.6,5.5,3.5,14.7,Inf,Inf,Inf,20.5,Inf,stream
str_NFG,0.05,3,1.6,4.9,2.9,2.1,5,Inf,Inf,Inf,Inf,Inf,stream
str_NFG,0.02,3,1.6,4.9,2.9,2.1,5,Inf,Inf,Inf,Inf,Inf,stream
str_NFG,0.01,3,1.6,4.9,2.9,2.1,5,Inf,Inf,Inf,Inf,Inf,stream
str_OHR,0.05,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_OHR,0.02,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_OHR,0.01,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,stream
str_PEC,0.05,1.4,1.1,1.7,5,3.2,11.8,47.6,26.6,154.4,10.9,Inf,stream
str_PEC,0.02,1.4,1.1,1.7,10,6.4,25,38.8,29.7,54.5,13.5,Inf,stream
str_PEC,0.01,1.4,1.1,1.7,10,6.4,25,38.8,29.7,54.5,13.5,Inf,stream
str_PKC,0.05,Inf,Inf,Inf,3.1,2.1,6.7,Inf,Inf,Inf,Inf,Inf,stream
str_PKC,0.02,Inf,Inf,Inf,3.1,2.1,6.7,Inf,Inf,Inf,Inf,Inf,stream
str_PKC,0.01,Inf,Inf,Inf,3.1,2.1,6.7,Inf,Inf,Inf,Inf,Inf,stream
str_POI,0.05,1.6,1.3,1.9,4.4,3.3,6.7,Inf,64.2,Inf,7.6,Inf,stream
str_POI,0.02,1.6,1.3,1.9,6.7,4.9,10.8,29.3,20.9,46.4,8.4,Inf,stream
str_POI,0.01,1.6,1.3,1.9,6.7,4.9,10.8,29.3,20.9,46.4,8.4,Inf,stream
str_POL,0.05,2,1.6,2.4,5,3.7,7.6,Inf,78.7,Inf,2.2,Inf,stream
str_POL,0.02,2,1.6,2.4,6.4,4.7,10.1,73.8,30.6,Inf,3,Inf,stream
str_POL,0.01,2,1.6,2.4,6.4,4.7,10.1,73.8,30.6,Inf,3,Inf,stream
str_ROC,0.05,1.8,1.2,2.4,6.2,3.9,17.4,Inf,114.8,Inf,25.8,Inf,stream
str_ROC,0.02,1.8,1.2,2.4,10.9,6.2,56.8,462.9,104,Inf,38.6,Inf,stream
str_ROC,0.01,1.8,1.2,2.4,10.9,6.2,56.8,462.9,104,Inf,38.6,Inf,stream
str_SEC,0.05,Inf,Inf,Inf,5.1,3.1,16.2,Inf,Inf,Inf,Inf,Inf,stream
str_SEC,0.02,Inf,Inf,Inf,5.1,3.1,16.2,Inf,Inf,Inf,Inf,Inf,stream
str_SEC,0.01,Inf,Inf,Inf,5.1,3.1,16.2,Inf,Inf,Inf,Inf,Inf,stream
str_SHE,0.05,Inf,Inf,Inf,4,2.8,7.1,Inf,Inf,Inf,1,Inf,stream
str_SHE,0.02,Inf,Inf,Inf,4,2.8,7.1,Inf,Inf,Inf,1,Inf,stream
str_SHE,0.01,Inf,Inf,Inf,4,2.8,7.1,Inf,Inf,Inf,1,Inf,stream
str_SIL,0.05,225.7,0.2,1133.1,4.4,3,9.1,Inf,Inf,Inf,Inf,Inf,stream
