Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Hanks	Marys	2012	0.0772727272727273	0.021587847607654	0.0240321982266564	0.0254641922590989	0.0285082709942241	0.0264518261923681	0.031234496875403	0.00025819488232174	0.00024137	0.000342331115083034	0.000399195	19.09711530227	19	-0.280208460998847	-0.49276810315893	NA	NA	NA	NA	NA	22
Independence Lake	Truckee	2016	0.18	0.0149238253616946	0.0172837063733201	0.0155618525392771	0.0178628339645289	0.0176314873060055	0.0184742149497308	0.000274753146468729	0.000298805	0.000313916379983267	0.000329689	90.2262215276406	90	-0.133056772109749	-0.0982793789598626	NA	NA	NA	NA	NA	10
Jackson	Quinn	2017	5.59333333333333	-0.00769197056750141	0.0783670991776079	-0.0118166535350508	0.0773210827857425	-0.0046426283772623	0.0967241380453584	0.000128627230199368	0.000545428	0.000114244793894532	0.000469433	22.029624507057	15	0.11843633583154	0.149764351965442	141.402959865402	19.9	141.605382163862	19.9	22.7	15
Lee	South Fork Humboldt	2016	0.608333333333333	0.0216780951980839	0.0328329688249209	0.0218423845570403	0.0330562443045754	0.0216096020058981	0.0350912981094445	0.000195361508979478	0.000222788	0.000276574346388121	0.000352552	20.7645449776743	20	-0.344168964849618	-0.451086314179442	NA	NA	NA	NA	NA	12
Line Canyon	Quinn	2000	0.0888888888888889	0.0141518261955981	0.0118053936502437	0.0175495982915039	0.0130735084124915	0.0145474263701499	0.0136100854835619	0.000152977096953588	0.000126252	0.000189897047845443	0.000136176	25.6915817634277	24	-0.215355700929241	-0.0756321733961315	NA	NA	NA	NA	NA	9
Line Canyon	Quinn	2017	2.46666666666667	0.0139263300666351	0.0582908365630879	0.0190695164283651	0.068630017452007	0.0132814978258975	0.0657526238090353	0.000194586079777119	0.000469454	0.000244693562232617	0.000546936	11.5202053573976	10	-0.228134780962091	-0.1524650970592	NA	NA	NA	NA	NA	6
Little Alvord	Steens out of basin	2000	0	0.00697663905593156	0.0063764291996482	0.00734061721660838	0.00681618293755497	0.00709667957986667	0.00609105510493024	7.57133163983522e-05	5.47952e-05	8.88088828481343e-05	5.55642e-05	6.00000000000033	6	-0.159195130016009	-0.013936284539423	NA	NA	NA	NA	NA	3
Little Jack	Maggie	2009	0.169230769230769	0.0236234190540754	0.0313995706058604	0.0250820108215505	0.033062197110437	0.0333744728795212	0.0387248655307679	0.000202099192912308	0.000246397	0.000295059349687344	0.000338154	34.2446355813384	52	-0.373965843124994	-0.313940101034811	NA	NA	NA	NA	NA	13
Little Jack	Maggie	2015	0.21875	0.0247208257145549	0.0247466320065727	0.0256184525169133	0.0257768341319255	0.0432671030556428	0.0514368210453077	0.000191817746718026	0.000150745	0.000309076983278968	0.000329331	29.2429733203866	11	-0.468199122644577	-0.743990534831985	NA	NA	NA	NA	NA	13
Long Canyon	Little Humboldt	2011	0.207142857142857	0.0113584831167076	0.0173043983712366	0.0107114345458188	0.0177635778678803	0.0125171727341785	0.0211265977691329	0.000199126738636895	0.000210137	0.000221209878673021	0.000218207	36.2603342976815	36	-0.105073596383078	-0.0376799955176213	NA	NA	NA	NA	NA	14
