Creek	Basin	year	Relative.percent.RBT	pred_pi	pi	pred_ho	ho	pred_Het.Hom	Het.Hom	pred_Tajimas.theta.4Nu	Tajimas.theta.4Nu	pred_Wattersons.theta.4Nu	Wattersons.theta.4Nu	pred_ne.rand	ne.rand	pred_theta_diff	theta_diff	pred_LDNe_0.01	LDNe_0.01	pred_LDNe_0.02	LDNe_0.02	LDNe_0.05	n
Pearl	South Fork Humboldt	2018	0.0866666666666667	0.0176022083398097	0.018900536372764	0.0194052070049567	0.0206576344125236	0.0193755599510269	0.0203821758981827	0.00021948078604222	0.000270334	0.00027441192667398	0.000336798	31.1949353648254	31	-0.222441591938711	-0.218944150530692	142.576865962721	124.7	142.576865962721	124.7	NA	15
Pike	Steens out of basin	2000	0	0.00755721849998608	0.00677151594582787	0.00781726448457664	0.0072083879423329	0.00742230634493546	0.00548045065439336	8.82344396441957e-05	7.82764e-05	0.000103820089137143	7.43393e-05	NA	NA	-0.162304420435633	0.0515949538612344	NA	NA	NA	NA	NA	2
Poison Flat	Carson	2017	0.0875	0.0223685776562663	0.0246103753987574	0.0248415374273689	0.0264323247374095	0.0230691644439636	0.0244349044612919	0.000229471295956589	0.00023618	0.000261793485159229	0.0002996	25.1968097433335	25	-0.131587650672722	-0.236738960020904	99.978985295089	71.5	99.978985295089	71.5	NA	16
Pole	Truckee	2016	0.225	0.021201660172015	0.0256333841446475	0.0237933113367998	0.0283738868522978	0.0288785132440792	0.0360558791792248	0.000271001098844792	0.000310752	0.000340964866057945	0.000428243	38.5060821971425	38	-0.228652478162807	-0.317975087788145	115.996771105193	73.8	115.996771105193	73.8	NA	19
Rock	Rock	2009	0	0.0185287955654312	0.0193192010452594	0.0187438602076957	0.0197877850094278	0.0201869890727784	0.0179851795001091	0.000228616276107521	0.000258105	0.000251767036794213	0.000300371	40.3505891883234	46	-0.0963845332047503	-0.151361920655498	NA	NA	NA	NA	NA	14
Rock	Rock	2017	0.025	0.0185287953985662	0.0183557858916399	0.0196598989713404	0.0188520519028994	0.0174304402702152	0.0186692650551917	0.000235535228142287	0.000222985	0.000250440315993232	0.00023486	33.7056421669144	28	-0.0613408968036	-0.0518734506219354	NA	NA	NA	NA	NA	8
Secret	Little Humboldt	2010	0.0333333333333333	0.0155065230034121	0.0158586234857421	0.0155977949108086	0.0157105606258149	0.0161970413592236	0.015179862118395	0.000223795476506009	0.00026002	0.000247777920079083	0.000259842	NA	NA	-0.101712453445185	0.000684797119235635	NA	NA	NA	NA	NA	6
SFLH Tributary	Little Humboldt	2010	0.05	0.016669688723262	0.0176814385093394	0.0181159518680849	0.0192199043893959	0.0183629904070282	0.019081747454568	0.000228478982435962	0.000288474	0.000270024667659464	0.000337885	28.1124627104762	28	-0.166681568793123	-0.157772140258223	NA	NA	NA	NA	NA	8
Sheep	Little Humboldt	2010	0.0666666666666667	0.019511064955028	0.0217429193899782	0.0221030221735054	0.0246187363834423	0.0217576300144837	0.0250136934368385	0.000213615037303248	0.000204173	0.000231571649266664	0.000206838	NA	NA	-0.080670031270559	-0.0129680227536488	NA	NA	NA	NA	NA	3
Silver	Walker	2015	0	0.0312675112656097	0.0296419881821342	0.0342315204387908	0.0316301703163017	0.0374717992790448	0.0291377668593075	0.000127679430252846	9.36622e-05	0.000205748129582783	0.000112299	17.0000000000001	17	-0.468279822870212	-0.180973892169982	NA	NA	NA	NA	NA	6
Slinkard	Walker	2015	0.0954545454545455	0.0284770981832322	0.0274729154890217	0.0357468622869762	0.0351268643664966	0.0437812156436553	0.0414137467763412	0.000134627170513617	0.000141976	0.000240264595792522	0.000239275	20.2147015381819	20	-0.563562258620751	-0.510419644800932	NA	NA	NA	NA	NA	20
Snowstorm	Little Humboldt	2010	0	0.0123445315847415	0.0110982563720504	0.0130266443491122	0.0118628546594648	0.0163531397164009	0.0147912253111742	0.00021348242730453	0.000197655	0.000221183148296181	0.000165411	30.0000000000001	30	-0.0354328542397604	0.177620597907818	NA	NA	NA	NA	NA	8
T	Marys	2002	0.1	0.0171499583847381	0.0180684567965034	0.017626505225099	0.0197000269034167	0.023239402178447	0.0240726100625886	0.000257765596681205	0.000246419	0.000291255057935294	0.000318183	39.9304641012783	36	-0.121997090537448	-0.254210930885827	NA	NA	NA	NA	NA	9
T	Marys	2017	0.0785714285714286	0.0171499581164591	0.0186121848464358	0.0193440779069328	0.0196548706978955	0.0196821781495805	0.0218228542935623	0.000269165510541413	0.000255821	0.000284184284382831	0.000229999	27.4711884361365	31	-0.0542831098129304	0.106302745872957	NA	NA	NA	NA	NA	14
Tierney	Reese	2001	0	0.0107149687123665	0.0130918135558062	0.0105154303909561	0.0133513379276091	0.0140231559719003	0.0152859020984963	0.000158888473320704	0.000199311	0.000211422217510545	0.00027384	34.0000000000002	34	-0.283727937056941	-0.315032621721184	NA	NA	NA	NA	NA	12
Tierney	Reese	2012	0	0.0107149683322686	0.00846422338568936	0.0117749836909676	0.00916230366492147	0.0111549711739706	0.00981266636712605	0.000151101337656497	0.000149626	0.000192603205612246	0.000151822	NA	NA	-0.241497348630034	-0.0145696770255566	NA	NA	NA	NA	NA	3
