OffspringID1	OffspringID2	Probability
MAG_COY_2009_017	MAG_COY_2009_023	0.804
MAG_COY_2009_018	MAG_COY_2009_026	0.01
MAG_COY_2009_019	MAG_COY_2009_020	0.003
MAG_COY_2009_019	MAG_COY_2009_022	1
MAG_COY_2009_019	MAG_COY_2009_025	0.963
MAG_COY_2009_020	MAG_COY_2009_022	0.001
MAG_COY_2009_020	MAG_COY_2009_025	0.003
MAG_COY_2009_020	MAG_COY_2009_026	0.008
MAG_COY_2009_021	MAG_COY_2009_023	0.318
MAG_COY_2009_022	MAG_COY_2009_025	0.998
MAG_COY_2015_001	MAG_COY_2015_013	0.002
MAG_COY_2015_003	MAG_COY_2015_016	0.003
MAG_COY_2015_003	MAG_COY_2015_027	0.037
MAG_COY_2015_004	MAG_COY_2015_014	0.983
MAG_COY_2015_006	MAG_COY_2015_013	0.001
MAG_COY_2015_008	MAG_COY_2015_009	0.933
MAG_COY_2015_008	MAG_COY_2015_013	0.721
MAG_COY_2015_009	MAG_COY_2015_013	0.888
MAG_COY_2015_010	MAG_COY_2015_031	0.021
MAG_COY_2015_016	MAG_COY_2015_018	0.118
MAG_COY_2015_016	MAG_COY_2015_021	0.006
MAG_COY_2015_021	MAG_COY_2015_027	0.004
MAG_COY_2015_027	MAG_COY_2015_036	0.004
MAG_LJK_2009_017	MAG_LJK_2009_018	0.003
MAG_LJK_2009_017	MAG_LJK_2009_021	0.015
MAG_LJK_2009_018	MAG_LJK_2009_031	0.003
MAG_LJK_2009_032	MAG_LJK_2009_033	0.863
MAG_LJK_2015_038	MAG_LJK_2015_039	0.168
MAG_LJK_2015_038	MAG_LJK_2015_048	0.177
MAG_LJK_2015_038	MAG_LJK_2015_049	0.196
MAG_LJK_2015_038	MAG_LJK_2015_051	0.193
MAG_LJK_2015_038	MAG_LJK_2015_059	0.092
MAG_LJK_2015_038	MAG_LJK_2015_060	0.001
MAG_LJK_2015_039	MAG_LJK_2015_045	0.075
MAG_LJK_2015_039	MAG_LJK_2015_046	0.106
MAG_LJK_2015_039	MAG_LJK_2015_048	0.044
MAG_LJK_2015_039	MAG_LJK_2015_049	0.003
MAG_LJK_2015_039	MAG_LJK_2015_051	0.003
MAG_LJK_2015_039	MAG_LJK_2015_052	0.151
MAG_LJK_2015_039	MAG_LJK_2015_058	0.016
MAG_LJK_2015_039	MAG_LJK_2015_059	0.074
MAG_LJK_2015_039	MAG_LJK_2015_060	0.024
MAG_LJK_2015_040	MAG_LJK_2015_048	0.068
MAG_LJK_2015_040	MAG_LJK_2015_059	0.058
MAG_LJK_2015_044	MAG_LJK_2015_045	0.147
MAG_LJK_2015_044	MAG_LJK_2015_052	0.077
MAG_LJK_2015_044	MAG_LJK_2015_053	0.801
MAG_LJK_2015_045	MAG_LJK_2015_046	0.564
MAG_LJK_2015_045	MAG_LJK_2015_049	0.148
MAG_LJK_2015_045	MAG_LJK_2015_051	0.112
MAG_LJK_2015_045	MAG_LJK_2015_052	0.481
MAG_LJK_2015_045	MAG_LJK_2015_053	0.176
MAG_LJK_2015_045	MAG_LJK_2015_059	0.025
MAG_LJK_2015_046	MAG_LJK_2015_049	0.175
MAG_LJK_2015_046	MAG_LJK_2015_051	0.2
MAG_LJK_2015_046	MAG_LJK_2015_052	0.478
MAG_LJK_2015_046	MAG_LJK_2015_059	0.085
MAG_LJK_2015_046	MAG_LJK_2015_060	0.002
MAG_LJK_2015_048	MAG_LJK_2015_049	0.079
MAG_LJK_2015_048	MAG_LJK_2015_051	0.082
MAG_LJK_2015_048	MAG_LJK_2015_059	0.079
MAG_LJK_2015_048	MAG_LJK_2015_060	0.038
MAG_LJK_2015_049	MAG_LJK_2015_051	0.374
MAG_LJK_2015_049	MAG_LJK_2015_052	0.068
MAG_LJK_2015_049	MAG_LJK_2015_058	0.005
MAG_LJK_2015_049	MAG_LJK_2015_059	0.006
MAG_LJK_2015_051	MAG_LJK_2015_052	0.137
MAG_LJK_2015_051	MAG_LJK_2015_059	0.006
MAG_LJK_2015_052	MAG_LJK_2015_053	0.095
MAG_LJK_2015_052	MAG_LJK_2015_059	0.056
MAG_LJK_2015_058	MAG_LJK_2015_059	0.023
MAG_LJK_2015_058	MAG_LJK_2015_060	0.059
MAG_LJK_2015_059	MAG_LJK_2015_060	0.041
MAR_HAN_2012_001	MAR_HAN_2012_007	0.111
MAR_HAN_2012_001	MAR_HAN_2012_017	0.017
MAR_HAN_2012_002	MAR_HAN_2012_016	0.03
MAR_HAN_2012_002	MAR_HAN_2012_019	0.013
MAR_HAN_2012_002	MAR_HAN_2012_020	0.003
MAR_HAN_2012_004	MAR_HAN_2012_013	0.299
MAR_HAN_2012_005	MAR_HAN_2012_009	0.984
MAR_HAN_2012_005	MAR_HAN_2012_014	0.951
MAR_HAN_2012_006	MAR_HAN_2012_018	0.653
MAR_HAN_2012_009	MAR_HAN_2012_014	0.958
MAR_HAN_2012_010	MAR_HAN_2012_017	0.825
MAR_HAN_2012_011	MAR_HAN_2012_012	0.002
MAR_HAN_2012_011	MAR_HAN_2012_016	0.146
MAR_HAN_2012_011	MAR_HAN_2012_019	0.247
MAR_HAN_2012_011	MAR_HAN_2012_020	0.06
MAR_HAN_2012_012	MAR_HAN_2012_021	0.374
MAR_HAN_2012_016	MAR_HAN_2012_019	0.027
MAR_HAN_2012_016	MAR_HAN_2012_020	0.124
MAR_HAN_2012_022	MAR_HAN_2012_024	0.646
MAR_HAN_2012_023	MAR_HAN_2012_025	0.97
MAR_MAE_2016_001	MAR_MAR_2017_006	0.929
MAR_MAE_2016_001	MAR_MAR_2017_012	0.005
MAR_MAE_2016_001	MAR_MAR_2017_169	0.962
MAR_MAE_2016_002	MAR_MAR_2017_150	0.003
MAR_MAE_2016_002	MAR_MAR_2017_167	0.004
MAR_MAE_2016_004	MAR_MAR_2017_152	0.807
MAR_MAE_2016_005	MAR_MAR_2017_005	0.391
MAR_MAE_2016_005	MAR_MAR_2017_013	0.085
MAR_MAR_2017_001	MAR_MAR_2017_168	0.891
MAR_MAR_2017_005	MAR_MAR_2017_013	0.998
MAR_MAR_2017_006	MAR_MAR_2017_012	0.005
MAR_MAR_2017_006	MAR_MAR_2017_159	0.002
MAR_MAR_2017_006	MAR_MAR_2017_169	0.844
MAR_MAR_2017_009	MAR_MAR_2017_134	0.997
MAR_MAR_2017_009	MAR_MAR_2017_150	0.04
MAR_MAR_2017_012	MAR_MAR_2017_169	0.005
MAR_MAR_2017_134	MAR_MAR_2017_150	0.018
MAR_MAR_2017_150	MAR_MRB_2016_005	0.104
MAR_MAU_2016_001	MAR_MAU_2016_002	0.985
MAR_MRB_2016_002	MAR_MRB_2016_004	0.998
MAR_MRB_2016_002	MAR_MRB_2016_007	0.997
MAR_MRB_2016_004	MAR_MRB_2016_007	1
MAR_TCR_2002_001	MAR_TCR_2002_002	0.001
MAR_TCR_2002_002	MAR_TCR_2002_011	0.008
MAR_TCR_2002_002	MAR_TCR_2002_022	0.023
MAR_TCR_2002_009	MAR_TCR_2002_017	0.014
MAR_TCR_2002_011	MAR_TCR_2002_022	0.476
MAR_TCR_2002_017	MAR_TCR_2002_020	0.007
MAR_TCR_2002_017	MAR_TCR_2002_024	0.001
MAR_TCR_2002_017	MAR_TCR_2002_025	0.006
MAR_TCR_2017_002	MAR_TCR_2017_030	0.859
MAR_TCR_2017_002	MAR_TCR_2017_036	0.003
MAR_TCR_2017_009	MAR_TCR_2017_012	0.951
MAR_TCR_2017_009	MAR_TCR_2017_016	0.924
MAR_TCR_2017_012	MAR_TCR_2017_016	0.066
MAR_TCR_2017_028	MAR_TCR_2017_034	0.149
MAR_TCR_2017_034	MAR_TCR_2017_048	0.006
MAR_TCR_2017_039	MAR_TCR_2017_049	0.085
MAR_TCR_2017_047	MAR_TCR_2017_049	0.005
MAR_WIC_2000_082	MAR_WIC_2000_089	0.009
MAR_WIC_2000_082	MAR_WIC_2000_099	0.005
MAR_WIC_2000_083	MAR_WIC_2000_102	0.648
MAR_WIC_2000_083	MAR_WIC_2000_104	0.234
MAR_WIC_2000_085	MAR_WIC_2000_114	0.36
MAR_WIC_2000_087	MAR_WIC_2000_096	0.574
MAR_WIC_2000_091	MAR_WIC_2000_113	0.031
MAR_WIC_2000_091	MAR_WIC_2000_114	0.007
MAR_WIC_2000_093	MAR_WIC_2000_095	0.901
MAR_WIC_2000_093	MAR_WIC_2000_098	0.951
MAR_WIC_2000_093	MAR_WIC_2000_100	0.07
